MCD/AD,TOTAL_ADJ,WHITE_ADJ,BLACK_ADJ,AMIND_ADJ,ASIAN_ADJ,HWN_ADJ,MULTI_ADJ,OTHER_ADJ,UNKNOWN_ADJ,HISP_ADJ,NHISP_ADJ,employed_E,employed_M,unemployed_E,unemployed_M,not_in_lf_E,not_in_lf_M,solo_car_E,solo_car_M,wfh_E,wfh_M,kids_u6_E,kids_u6_M,kids_6_17_E,kids_6_17_M,inc_lt25k_E,inc_lt25k_M,inc_25_49k_E,inc_25_49k_M,inc_50_74k_E,inc_50_74k_M,inc_75_99k_E,inc_75_99k_M,inc_100_149k_E,inc_100_149k_M,inc_150kplus_E,inc_150kplus_M,commute_noncar_E,commute_noncar_M,female_65plus_E,female_65plus_M,female_u18_E,female_u18_M,female_total_E,female_total_M,female_18plus_E,female_18plus_M,female_19_24_E,female_19_24_M,female_25_34_E,female_25_34_M,female_35_49_E,female_35_49_M,female_50_64_E,female_50_64_M,male_65plus_E,male_65plus_M,male_u18_E,male_u18_M,male_total_E,male_total_M,male_18plus_E,male_18plus_M,male_19_24_E,male_19_24_M,male_25_34_E,male_25_34_M,male_35_49_E,male_35_49_M,male_50_64_E,male_50_64_M,X,Harris.Walz,Trump.Vance,Mamdani,Sliwa.Cuomo,Cuomo,total_pop_E,total_pop_M
77,132477,8800,48610,1850,1806,171,18555,52682,3,83443,49032,51357,2389,7359,1037,42050,1778,6642,895,3339,662,9657,1350,22023,2035,17176,1477,11834,1288,7325,872,5382,866,4015,595,2711,460,40135,2165,8826,805,6458,879,70678,3044,53874,1766,4782,802,11769,975,13590,1173,13231,1078,5716,703,5493,842,61646,3060,43609,2207,4038,722,9076,1009,12279,1281,11045,997,55,20465,7510,9164,6862,6226,132324,4948
78,129342,16439,28302,2468,4410,140,19316,58264,3,89522,39819,54357,2237,7923,1032,39690,2081,7715,1024,4390,641,11483,1156,20533,1486,16178,1403,10507,877,8450,867,5448,781,5015,646,3284,672,39632,2183,9324,939,7514,784,68706,2558,51461,1810,4867,693,10598,823,12906,975,11119,1015,5832,742,7390,845,63625,2771,47056,2085,5269,733,11253,1146,12307,1102,10274,1002,56,17944,8242,8391,7011,6098,132331,4153
79,142645,9946,64200,1591,1092,210,18841,46757,8,81238,61405,44824,2370,7948,1010,45453,2320,9054,1140,2694,635,9001,1012,20604,1527,21829,1669,10935,1237,6885,856,4859,729,3004,560,2511,505,31134,2256,10121,848,6160,851,68811,2369,52949,1967,4345,749,10359,994,14439,1233,11870,1057,5862,749,5996,892,57730,2972,41260,2187,4288,698,9192,1202,9197,1029,11013,1072,57,22202,6644,8872,7180,6484,126541,4488
80,134062,31137,31215,1856,14176,107,17184,38382,5,63429,70632,57754,2159,5955,672,40084,1682,15445,1083,4654,529,9151,883,18473,1137,11130,861,8939,840,8827,730,5752,566,7086,624,6785,599,36083,1617,11111,727,6017,727,67341,2005,52793,1706,4409,668,9208,758,13408,883,13049,864,7934,632,5800,590,62010,2130,47733,1670,4244,527,9709,862,12948,939,11342,888,58,22381,11422,11709,10505,8354,129351,3418
81,134216,47035,25477,1348,8305,138,18044,33869,0,57786,76430,55550,2024,4788,736,41923,1849,14256,1106,7016,844,8441,914,15761,1400,9266,1007,8168,929,7330,805,6409,660,8206,813,12046,890,32464,1600,14791,773,4749,680,65429,2325,53280,1746,3415,630,8382,822,11894,945,13464,897,10986,668,4160,488,59289,2066,46273,1749,2924,417,8870,906,10631,1022,11626,961,59,30342,11613,14854,15921,13763,124718,3707
82,136866,43360,35905,1256,9896,113,16557,29777,2,55161,81705,56735,2568,4573,846,42295,1871,22039,1785,5671,827,7879,1164,15199,1236,9093,894,9563,1023,7042,788,6568,782,7914,774,9527,910,27457,1629,14740,1037,4620,710,65800,2557,53807,2100,3549,613,9005,856,12357,966,13085,990,10061,807,6354,830,60263,2440,46819,1670,4500,707,8715,868,10480,1015,11209,977,60,29908,16018,12883,19571,14488,126063,4093
83,134658,6086,93516,806,2553,119,11898,19679,1,35242,99416,56689,2384,6135,711,42174,2033,19692,1419,3244,730,10072,1226,21373,1753,11374,1102,7730,849,7148,758,5665,723,7174,892,7657,757,31996,1918,12436,899,6515,735,74140,3138,56861,2241,4752,656,10228,969,12833,969,14849,1146,8235,642,5501,667,60789,2664,44325,1795,3923,575,8871,912,10237,985,11481,950,61,32155,4649,9928,7814,7198,134929,4775
84,133777,11968,40726,3150,1916,156,18692,57161,8,92710,41062,48170,2040,7168,952,44248,2212,5450,718,3741,728,10302,1253,23198,1876,19173,1387,11667,1208,6396,730,3504,632,4280,617,3738,615,37529,1953,9118,833,5634,705,69530,2814,51739,1894,4171,609,11399,1162,13255,1224,12333,1105,5486,654,6948,892,62363,2731,43911,1932,4485,608,9907,1012,12523,1305,9047,919,62,21930,7742,10111,7511,6701,131893,4708
85,127599,11268,42739,2527,2411,159,17159,51332,4,83319,44280,48212,2080,6733,815,45276,2136,12663,1155,2696,520,11210,1114,19707,1231,15813,1163,10247,979,7281,761,4715,661,4555,784,3833,598,31368,1660,10102,817,5962,627,66522,2389,50868,1545,4584,578,10679,915,12140,908,11985,911,6483,726,7374,924,63923,2892,46409,2077,5247,677,10488,1023,11440,1025,10624,937,63,22421,7206,8957,8145,7222,130445,3836
86,132620,9766,38372,2451,2443,163,18252,61165,8,93403,39212,54463,2906,8058,888,39749,2283,6709,901,3089,565,11232,1284,22507,1867,17597,1374,9407,999,7904,1034,4948,757,5104,696,2630,569,41260,2785,7142,659,7342,828,71457,2675,53340,1874,5649,688,11487,985,14112,1049,13257,1118,5834,750,6588,660,62660,3253,45062,2378,4586,620,9753,1029,12395,1145,10492,1050,64,17958,8670,7322,6615,5951,134117,5244
87,138356,12391,40291,2300,20562,164,17675,44973,0,73065,65290,46946,2021,5296,781,39261,2072,10803,986,3531,657,8657,891,17554,1450,12458,927,9038,830,7398,652,4499,645,6332,790,3803,431,31300,1591,10628,785,5715,753,60108,2081,47278,1577,4016,608,8452,811,11067,859,11416,871,6934,663,5704,748,56430,2241,41180,1790,4376,734,8269,944,9750,959,10523,890,65,23964,8458,12676,8577,7487,116538,3372
