MCD/AD,TOTAL_ADJ,WHITE_ADJ,BLACK_ADJ,AMIND_ADJ,ASIAN_ADJ,HWN_ADJ,MULTI_ADJ,OTHER_ADJ,UNKNOWN_ADJ,HISP_ADJ,NHISP_ADJ,employed_E,employed_M,unemployed_E,unemployed_M,not_in_lf_E,not_in_lf_M,solo_car_E,solo_car_M,wfh_E,wfh_M,kids_u6_E,kids_u6_M,kids_6_17_E,kids_6_17_M,inc_lt25k_E,inc_lt25k_M,inc_25_49k_E,inc_25_49k_M,inc_50_74k_E,inc_50_74k_M,inc_75_99k_E,inc_75_99k_M,inc_100_149k_E,inc_100_149k_M,inc_150kplus_E,inc_150kplus_M,commute_noncar_E,commute_noncar_M,female_65plus_E,female_65plus_M,female_u18_E,female_u18_M,female_total_E,female_total_M,female_18plus_E,female_18plus_M,female_19_24_E,female_19_24_M,female_25_34_E,female_25_34_M,female_35_49_E,female_35_49_M,female_50_64_E,female_50_64_M,male_65plus_E,male_65plus_M,male_u18_E,male_u18_M,male_total_E,male_total_M,male_18plus_E,male_18plus_M,male_19_24_E,male_19_24_M,male_25_34_E,male_25_34_M,male_35_49_E,male_35_49_M,male_50_64_E,male_50_64_M,X,Harris.Walz,Trump.Vance,Mamdani,Sliwa.Cuomo,Cuomo,total_pop_E,total_pop_M
34,126730,19664,2701,2746,37434,66,16422,47695,2,70142,56586,67184,2823,5865,869,34231,2047,13024,1029,7800,944,8992,1020,15680,1374,7186,690,6751,782,8155,860,6292,589,8981,867,9842,823,43784,2081,9504,707,4626,455,64217,2666,51876,1913,3817,432,12208,1055,14132,1044,11406,871,7718,726,4173,509,66647,2853,53027,2472,3021,431,12428,1198,16662,1158,12046,996,12,22754,14429,16215,11992,9659,130864,4785
35,134927,15704,14533,3443,35036,84,15064,51062,1,72593,62333,54626,2705,2949,539,35035,1844,11199,976,3841,658,7055,897,14666,1662,5726,594,5752,590,6127,707,4901,599,6938,709,6025,673,37823,2251,10571,893,3488,481,54162,2569,42904,1788,2577,338,8156,788,10689,886,10000,887,8417,795,5161,596,59487,2865,46315,2203,3590,458,10219,1153,12154,1062,10364,923,13,16022,11998,8517,10607,9149,113649,4701
36,130094,77443,3298,932,18187,64,14847,15323,0,28955,101138,71685,1934,5710,644,28961,1762,8310,790,14335,1166,6327,858,10235,870,9169,837,6747,746,7694,749,6526,575,9949,687,17600,979,46815,1959,8935,665,4210,609,60979,2352,52685,1892,3413,524,16710,1048,13189,849,9641,738,6202,635,4908,729,60873,2197,51843,1737,4206,706,15843,970,15927,1023,8963,841,14,34799,11649,25837,10923,8847,121852,3426
37,151855,60979,14065,1634,29537,123,17027,28489,1,48590,103265,76434,2389,4907,630,34143,1827,13315,1024,12447,1068,9722,1145,14686,1288,6627,668,8085,741,8994,870,7440,663,9911,748,16053,925,48708,1743,9862,848,4704,576,69058,2471,57214,1986,3472,517,14068,953,17237,1083,11343,805,6956,605,4409,558,69315,2225,55974,1782,3390,519,13219,882,17600,1138,13790,1046,15,29229,14818,22625,13813,10457,138373,4067
38,131813,31835,7855,2704,24262,116,19529,45510,2,65587,66225,63719,2541,4462,592,37212,1713,17227,1065,6024,718,8331,880,17325,1176,4415,487,6069,636,5684,478,6169,713,7537,569,9878,685,39047,1950,8933,675,6092,557,63969,2494,51165,1872,4919,519,10960,806,12737,838,12443,817,7579,743,5779,651,65020,2501,51089,2073,4240,511,10645,796,13788,933,13298,853,16,18922,14323,13234,11195,8328,128989,4276
39,129016,14306,2671,3990,42679,56,13888,51422,4,74073,54941,62899,2378,3756,627,34416,1928,9847,1014,5977,1103,7587,972,16523,1433,6587,830,7600,889,7452,848,5643,680,6651,662,8118,786,45587,2412,10458,873,5042,650,62008,2421,48891,1725,3562,492,8516,796,12646,970,12229,989,7654,778,4496,568,61879,2824,49211,2122,2935,429,10150,953,14396,1106,12515,1059,17,17132,13064,11765,10582,8360,123887,4467
40,131394,17288,3348,495,91217,34,6667,12345,0,20528,110865,55546,2812,3836,662,40631,1912,13996,1238,5043,618,5605,822,11057,1147,9853,934,9126,1012,7424,773,5235,755,6545,874,6996,788,33190,2086,14025,903,3684,691,60591,2287,51977,1892,2891,601,7782,910,11858,1079,14628,1215,11720,937,3006,476,55088,2432,46495,2077,2101,439,7111,816,10950,1111,13708,1207,18,12618,13162,6499,11479,9050,115679,3919
41,131505,63937,31717,507,20782,40,8834,5686,2,10963,120542,57851,1997,3899,443,46645,1556,17314,1067,6985,613,10059,1083,17656,1284,9529,855,8497,745,7657,639,6602,706,8173,569,11259,736,31963,1644,16569,801,3932,492,69122,2045,55370,1708,2874,379,8127,765,12021,803,14721,935,12902,849,4430,491,65038,1974,49993,1542,3192,420,8191,790,11845,894,12625,906,19,20742,22406,9634,24613,21247,134160,3375
42,124032,25918,67048,901,6977,68,11342,11777,1,20029,104002,62883,2711,4343,551,34300,1825,10490,1136,7216,715,7938,893,16788,1377,7536,716,7647,658,7522,683,5968,693,8691,774,10272,812,43472,1992,10193,619,5017,556,65436,2732,52934,1954,3757,468,10899,786,14148,995,12677,942,7504,558,5519,776,59822,2663,46061,2113,4133,674,10537,962,12560,1048,9941,838,20,35721,7442,20986,10667,10008,125258,4653
43,130118,36056,70701,479,3951,47,11324,7558,2,13562,116555,71188,2928,6172,779,39288,1870,9056,890,11360,1025,8563,1205,15427,1308,11022,880,9285,934,7760,826,7309,727,10257,954,11601,874,47671,2116,14047,995,6205,858,74691,2856,63221,2435,4989,788,14946,1127,13876,1010,14147,1079,8321,771,5446,739,64736,2021,50928,1831,4067,652,13513,1158,13461,1017,10187,999,21,42360,7946,25991,12905,12303,139427,4021
44,128763,71129,7423,998,26358,36,11468,11350,1,18911,109851,73894,2486,4484,649,30244,1626,9154,1131,20508,1153,9960,1122,19978,1329,5831,700,5997,638,6103,631,5131,544,8804,957,23052,1216,42995,1717,9755,712,2839,334,69635,2187,54325,1577,2116,316,12157,892,17811,1080,11763,931,7808,627,3210,489,67273,2476,51408,2097,2032,359,11563,1045,16483,1132,12344,1091,22,44880,9965,38244,13573,12149,136908,3868
45,133880,84871,3741,730,26548,41,7582,10367,0,15219,118661,52146,2017,3566,611,41063,1776,12842,921,6472,744,10393,873,18713,1452,10520,866,8295,694,6122,662,5369,653,7085,497,9126,699,30935,1468,13813,781,3833,444,63369,2339,49349,1681,2794,372,8532,852,11298,867,11873,729,10822,686,4324,470,60319,2098,44450,1401,3239,408,7614,688,10706,813,10984,816,23,8282,25164,4539,25414,23259,123688,3934
46,129858,77726,13122,787,18989,60,8677,10497,0,20279,109577,57228,2109,5338,794,50375,1893,13546,1034,9801,1040,8350,964,18174,1116,14277,1082,9952,856,7896,587,6050,640,8143,804,11388,769,32650,1469,19489,864,4235,647,72537,2213,59344,1572,3078,495,8233,719,13620,886,13767,928,13432,831,5092,855,64935,2224,50637,1879,3692,729,8064,766,11926,849,12123,982,24,19793,23981,11497,22452,18015,137472,3765
47,135838,53718,3003,1405,56963,53,8128,12565,3,20471,115367,57837,2226,4256,509,41636,1766,13022,924,6740,697,9433,1031,19500,1638,9347,742,7526,646,6962,844,5374,545,7003,637,8670,731,34668,1676,12804,728,4831,620,67461,2835,52944,2147,3677,542,8145,726,13701,1020,13463,930,9591,584,4467,483,62774,2220,47540,1459,3104,390,8266,688,12292,846,12924,834,25,11063,18040,6564,14291,11220,130235,4560
48,135986,100393,2472,580,15277,24,5998,11242,0,10627,125359,42967,1832,3010,481,34368,1746,9924,870,4113,565,19775,1419,33311,2384,7684,711,7376,640,5702,722,4082,461,4490,476,5344,490,27684,1505,8500,678,5471,530,64165,2689,38293,1525,3595,426,7999,802,9024,692,7299,598,7318,510,5981,575,65377,2768,37431,1662,3993,444,8554,921,8948,709,6630,680,26,4675,27993,3543,30130,29003,129542,4786
49,136327,34324,1482,1415,79081,26,5761,14237,1,21579,114747,53041,2163,4865,831,35644,1299,9453,814,6174,806,8652,937,17283,1223,6567,600,8587,775,6976,570,4705,599,4904,545,6572,676,34477,1692,10541,723,3990,538,58845,2436,45649,1774,3047,493,7401,693,12511,835,11206,759,8986,654,5133,481,59221,2054,45332,1557,3944,425,7353,724,11980,834,11880,779,27,9060,13689,5509,10464,7922,118066,3837
50,156397,113779,8201,698,8590,88,12595,12443,3,22905,133492,78194,2301,5701,707,24264,1369,6043,729,20267,1560,14782,1528,18788,1768,7509,765,7182,799,5554,613,4372,514,8716,862,24353,1241,50627,1932,5527,528,5406,573,70914,2971,52796,1702,4096,512,19981,1176,14797,1017,7085,712,4903,574,4992,839,69352,2350,52822,1812,3851,743,19379,1211,16804,1165,6744,664,28,33291,11913,26568,13712,12188,140266,4803
51,128472,35809,8250,3119,29541,101,14154,37494,4,58178,70294,58293,2614,4483,588,33012,1516,7420,805,7959,764,7945,975,19569,1419,7886,735,7561,766,5212,559,5302,645,5923,536,9837,815,40049,1862,8680,788,3793,474,60933,2666,45944,1995,2568,403,9847,911,13883,1127,9741,751,6517,587,4846,597,61200,2466,46839,1753,3447,494,10016,918,15208,1008,10252,911,29,22548,8198,16484,8010,6635,122133,4394
52,147180,97596,11846,442,14462,68,16010,6756,0,18060,129120,86735,2544,4574,597,26962,1254,4451,541,28393,1471,12371,1117,14473,1340,5788,569,4312,637,4213,476,3973,580,9414,793,37920,1631,52466,1907,9881,753,3918,473,74443,2620,60403,1829,3118,426,17387,925,18825,1209,10392,784,7522,720,3626,492,69390,2226,55800,1580,2770,446,15028,929,19123,1130,10501,805,30,58697,5501,41943,16002,14890,143833,4023
53,131377,50291,13350,2183,11133,161,16757,37499,3,61009,70367,68201,2443,6568,765,33937,1719,5449,668,13026,1097,7133,911,13713,1374,11522,1032,7114,835,6768,699,6442,686,8754,848,12147,889,47905,1963,8702,804,7994,1033,66440,2857,56232,2195,6916,922,17926,1272,12281,1011,9329,891,5577,571,5807,784,61783,2486,50179,1940,4846,722,18262,1323,12881,1083,7652,733,31,33072,7672,27990,7738,6680,128223,4152
